4673a,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673b,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673c,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673d,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673e,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4673f,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Bivio Piano Ghirlanda",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4826a,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.7,11.9,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4826b,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4877,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4878,,Oedemeridae,Stenostoma,cossyrense,,,IT,Sicilia,TP,"Pantelleria Island, Lago di Venere",,2019-06-17,M. Pavesi,,,,36.81,11.98,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4869,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, at a walk from Achada do Gramacho to Ribeira de São Jorge, north of Madeira in Santana County",,2021-06-30,A. Franquino-Aguilar,,-16.9,32.82,-16.9,32.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4870,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, at a walk from Achada do Gramacho to Ribeira de São Jorge, north of Madeira in Santana County",,2021-06-30,A. Franquino-Aguilar,,-16.9,32.82,-16.9,32.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4871,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, at a walk from Achada do Gramacho to Ribeira de São Jorge, north of Madeira in Santana County",,2021-06-30,A. Franquino-Aguilar,,-16.9,32.82,-16.9,32.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4872,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, at a walk from Achada do Gramacho to Ribeira de São Jorge, north of Madeira in Santana County",,2021-06-30,A. Franquino-Aguilar,,-16.9,32.82,-16.9,32.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4873,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, at a walk from Achada do Gramacho to Ribeira de São Jorge, north of Madeira in Santana County",,2021-06-30,A. Franquino-Aguilar,,-16.9,32.82,-16.9,32.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4875,,Oedemeridae,Stenostoma,lowei,,,PT,Madeira,,"Madeira, Levada da Raposeira, Fajã da Ovelha (south in Calheta County)",,2021-07-22,A. Franquino-Aguilar,,-17.21,32.76,-17.21,32.76,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4804,,Oedemeridae,Stenostoma,melitense,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.46,36.82,14.46,36.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4805,,Oedemeridae,Stenostoma,melitense,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.46,36.82,14.46,36.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4806,,Oedemeridae,Stenostoma,melitense,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.46,36.82,14.46,36.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4807,,Oedemeridae,Stenostoma,melitense,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.46,36.82,14.46,36.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4808,,Oedemeridae,Stenostoma,melitense,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.46,36.82,14.46,36.82,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4843,,Oedemeridae,Stenostoma,melitense,,,MT,,,"Malta Island, Dingli (Gebel Ciantar)",,2021-06-20,T. Cassar,,,,35.86,14.37,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4844,,Oedemeridae,Stenostoma,melitense,,,MT,,,"Malta Island, Dingli (Gebel Ciantar)",,2021-06-20,T. Cassar,,,,35.86,14.37,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4845,,Oedemeridae,Stenostoma,melitense,,,MT,,,"Malta Island, Dingli (Gebel Ciantar)",,2021-06-20,T. Cassar,,,,35.86,14.37,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4846,,Oedemeridae,Stenostoma,melitense,,,MT,,,"Malta Island, Dingli (Gebel Ciantar)",,2021-06-20,T. Cassar,,,,35.86,14.37,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4847,,Oedemeridae,Stenostoma,melitense,,,MT,,,"Malta Island, Dingli (Gebel Ciantar)",,2021-06-20,T. Cassar,,,,35.86,14.37,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4769,,Oedemeridae,Stenostoma,rostratum,,,IT,Sardegna,OR,"Narbolia, Is Arenas, camping Nurapolis",,2021-06-24,"M. A. Bologna, A. Riccieri",,8.46,40.06,8.46,40.06,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4770,,Oedemeridae,Stenostoma,rostratum,,,IT,Sardegna,OR,"Narbolia, Is Arenas, camping Nurapolis",,2021-06-24,"M. A. Bologna, A. Riccieri",,8.46,40.06,8.46,40.06,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4788,,Oedemeridae,Stenostoma,rostratum,,,IT,Sardegna,SS,Porto Ferro Beach,,2021-06-22/2021-06-25,"M. A. Bologna, A. Riccieri",,8.2,40.68,8.2,40.68,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4789,,Oedemeridae,Stenostoma,rostratum,,,IT,Sardegna,SS,Porto Ferro Beach,,2021-06-22/2021-06-25,"M. A. Bologna, A. Riccieri",,8.2,40.68,8.2,40.68,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4798,,Oedemeridae,Stenostoma,rostratum,,,IT,Lazio,RM,"Rome province, Ladispoli, Torre Flavia",,2021-06-19/2021-07-01,"E. Silvia, De Michelis",,12.04,41.96,12.04,41.96,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4799,,Cerambycidae,Stenostoma,rostratum,,,IT,Lazio,RM,"Rome province, Ladispoli, Torre Flavia",,2021-06-19/2021-07-01,"E. Silvia, De Michelis",,12.04,41.96,12.04,41.96,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4803,,Cerambycidae,Stenostoma,rostratum,,,IT,Lazio,VT,Montalto di Castro,,2021-06-22,E. Capogna,,11.57,42.33,11.57,42.33,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4820,,Cerambycidae,Stenostoma,rostratum,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.45,36.83,14.45,36.83,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4821,,Cerambycidae,Stenostoma,rostratum,,,IT,Sicilia,RG,Punta Braccetto,,2021-06-12,"M. A. Bologna, C. Marangoni",,14.45,36.83,14.45,36.83,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4827,,Cerambycidae,Stenostoma,rostratum,,,ES,,,"Girona, Torroella de Montgri",,2009-06-22,,,3.19,42.01,3.19,42.01,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4831,,Cerambycidae,Stenostoma,rostratum,,,IT,Puglia,FG,"Ischitella, Foce Varano Beach",,2021-07-07,R. Vanzini,,15.79,41.91,15.79,41.91,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4832,,Oedemeridae,Stenostoma,rostratum,,,IT,Puglia,FG,"Ischitella, Foce Varano Beach",,2021-07-07,R. Vanzini,,15.79,41.91,15.79,41.91,adult,whole body,palaearctic,dry,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
4848,,Oedemeridae,Stenostoma,rostratum,,,FR,Corsica,,Les Sables de Bisiglia,,2021-07-07,P. Cerretti,,9.5,42.59,9.5,42.59,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
5334,,Oedemeridae,Stenostoma,rostratum,,,MA,Rabat,,"Kenitra, Plage Sidi Boughaba",,2022-05-30,R. Poloni,,-6.694575,34.215098,-6.694575,34.215098,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD
5335,,Oedemeridae,Stenostoma,rostratum,,,MA,Rabat,,"Kenitra, Plage Sidi Boughaba",,2022-05-30,R. Poloni,,-6.694575,34.215098,-6.694575,34.215098,adult,whole body,palaearctic,ethanol 96,"MAB (Roma 3 University, Rome)",COI - 28s - CAD